timestamp,server_id,latency
1748368115.6562166,8.8.8.8,59.40612975714201
1748368115.6562166,1.1.1.1,72.40612975714201
1748368115.6562166,9.9.9.9,77.40612975714201
1748368115.6562166,208.67.222.222,54.40612975714201
1748368115.6562166,64.6.64.6,78.40612975714201
1748368175.6562166,8.8.8.8,68.31469373741469
1748368175.6562166,1.1.1.1,75.31469373741469
1748368175.6562166,9.9.9.9,50.314693737414686
1748368175.6562166,208.67.222.222,66.31469373741469
1748368175.6562166,64.6.64.6,64.31469373741469
1748368235.6562166,8.8.8.8,64.22094813400248
1748368235.6562166,1.1.1.1,73.22094813400248
1748368235.6562166,9.9.9.9,52.22094813400249
1748368235.6562166,208.67.222.222,67.22094813400248
1748368235.6562166,64.6.64.6,48.22094813400249
1748368295.6562166,8.8.8.8,72.12491898674801
1748368295.6562166,1.1.1.1,64.12491898674801
1748368295.6562166,9.9.9.9,78.12491898674801
1748368295.6562166,208.67.222.222,59.12491898674801
1748368295.6562166,64.6.64.6,71.12491898674801
1748368355.6562166,8.8.8.8,59.02663296979689
1748368355.6562166,1.1.1.1,78.02663296979689
1748368355.6562166,9.9.9.9,58.02663296979689
1748368355.6562166,208.67.222.222,99.02663296979689
1748368355.6562166,64.6.64.6,103.02663296979689
1748368415.6562166,8.8.8.8,67.92611738418853
1748368415.6562166,1.1.1.1,60.92611738418854
1748368415.6562166,9.9.9.9,75.92611738418853
1748368415.6562166,208.67.222.222,55.92611738418854
1748368415.6562166,64.6.64.6,97.92611738418853
1748368475.6562166,8.8.8.8,74.8234001502726
1748368475.6562166,1.1.1.1,68.8234001502726
1748368475.6562166,9.9.9.9,67.8234001502726
1748368475.6562166,208.67.222.222,59.823400150272604
1748368475.6562166,64.6.64.6,55.823400150272604
1748368535.6562166,8.8.8.8,51.718509799953594
1748368535.6562166,1.1.1.1,59.718509799953594
1748368535.6562166,9.9.9.9,92.7185097999536
1748368535.6562166,208.67.222.222,77.7185097999536
1748368535.6562166,64.6.64.6,65.7185097999536
1748368595.6562166,8.8.8.8,95.61147546876546
1748368595.6562166,1.1.1.1,55.61147546876547
1748368595.6562166,9.9.9.9,65.61147546876546
1748368595.6562166,208.67.222.222,61.61147546876547
1748368595.6562166,64.6.64.6,80.61147546876546
1748368655.6562166,8.8.8.8,69.50232688777865
1748368655.6562166,1.1.1.1,68.50232688777865
1748368655.6562166,9.9.9.9,64.50232688777865
1748368655.6562166,208.67.222.222,82.50232688777865
1748368655.6562166,64.6.64.6,65.50232688777865
1748368715.6562166,8.8.8.8,71.3910943749495
1748368715.6562166,1.1.1.1,50.3910943749495
1748368715.6562166,9.9.9.9,56.3910943749495
1748368715.6562166,208.67.222.222,71.3910943749495
1748368715.6562166,64.6.64.6,62.3910943749495
1748368775.6562166,8.8.8.8,51.27780882825995
1748368775.6562166,1.1.1.1,55.27780882825995
1748368775.6562166,9.9.9.9,58.27780882825995
1748368775.6562166,208.67.222.222,58.27780882825995
1748368775.6562166,64.6.64.6,72.27780882825995
1748368835.6562166,8.8.8.8,106.16250171480411
1748368835.6562166,1.1.1.1,58.16250171480411
1748368835.6562166,9.9.9.9,53.16250171480411
1748368835.6562166,208.67.222.222,65.16250171480411
1748368835.6562166,64.6.64.6,56.16250171480411
1748368895.6562166,8.8.8.8,53.045205063594274
1748368895.6562166,1.1.1.1,109.04520506359427
1748368895.6562166,9.9.9.9,48.045205063594274
1748368895.6562166,208.67.222.222,69.04520506359427
1748368895.6562166,64.6.64.6,83.04520506359427
1748368955.6562166,8.8.8.8,73.92595145627934
1748368955.6562166,1.1.1.1,51.925951456279336
1748368955.6562166,9.9.9.9,58.925951456279336
1748368955.6562166,208.67.222.222,107.92595145627934
1748368955.6562166,64.6.64.6,72.92595145627934
1748369015.6562166,8.8.8.8,70.80477401809452
1748369015.6562166,1.1.1.1,54.80477401809452
1748369015.6562166,9.9.9.9,51.80477401809452
